60	87	21	12
36	71	13	15
26	61	14	19
42	87	13	19
28	75	13	22
60	75	28	24
68	80	33	26
83	91	94	27
73	90	19	28
42	74	23	30
57	75	37	31
90	93	62	31
36	85	29	33
40	90	37	33
41	74	22	36
19	72	24	36
40	81	51	36
34	69	81	36
78	89	63	37
49	92	17	37
42	78	44	40
44	67	26	41
15	73	10	41
61	82	24	42
76	90	43	44
38	88	26	46
45	82	23	48
52	91	62	48
62	93	26	48
42	90	49	50
55	88	59	50
50	79	88	52
44	91	72	52
72	88	44	54
27	73	17	56
45	83	26	56
59	79	36	56
72	97	86	58
49	86	11	59
25	67	23	59
50	88	32	59
67	78	62	59
64	88	13	60
60	89	84	62
54	74	33	63
44	82	40	63
46	78	43	63
47	85	46	63
52	64	70	63
64	77	67	64
45	89	37	65
78	85	67	65
55	82	76	65
71	69	18	67
56	82	28	67
35	86	14	67
41	81	19	67
71	84	39	67
67	79	58	67
40	82	71	67
61	89	83	67
59	76	23	68
37	86	16	69
57	93	23	69
63	80	34	69
53	90	63	69
54	90	85	69
54	79	17	70
40	77	24	70
37	80	30	70
47	73	11	72
67	87	41	72
53	89	11	73
60	86	13	73
60	95	64	73
75	94	86	73
58	89	44	74
65	62	46	74
76	81	76	74
36	81	90	74
40	85	16	74
49	84	21	74
41	77	17	75
54	72	59	76
68	92	72	77
74	91	85	77
82	93	91	77
44	85	17	78
62	79	25	78
53	84	37	78
46	93	38	78
85	75	53	78
46	60	17	78
67	84	23	78
54	82	37	78
47	75	44	78
85	90	86	78
52	84	52	79
57	85	12	80
76	80	47	80
60	78	98	80
66	88	49	81
50	92	64	81
20	76	15	81
32	60	16	81
35	66	22	81
60	92	31	81
46	79	52	81
70	88	53	81
32	81	13	82
53	78	14	82
13	76	15	82
64	84	17	82
48	75	22	82
65	90	84	82
61	70	35	83
50	79	45	84
38	85	67	84
57	84	84	84
65	75	97	84
82	97	72	85
79	79	19	85
40	72	24	85
56	69	24	85
64	90	33	85
47	85	36	85
62	82	38	85
76	82	48	85
52	81	49	85
64	87	49	85
88	92	50	85
44	82	52	85
67	85	58	85
57	75	73	85
60	80	86	85
63	81	10	85
29	78	13	85
47	89	16	85
76	88	22	85
42	70	46	87
29	83	85	87
77	87	78	88
82	93	77	88
78	95	93	88
62	83	19	89
39	72	26	89
46	79	32	89
54	76	41	89
25	76	61	89
34	75	21	89
45	74	27	89
36	76	37	89
62	85	45	89
25	73	48	89
53	80	49	89
37	67	50	89
33	73	69	89
67	80	79	89
55	87	82	89
34	72	88	89
75	81	89	89
76	92	77	90
80	82	99	92
38	72	38	92
53	94	64	92
69	91	68	92
51	87	24	93
77	74	55	93
57	79	62	93
43	79	95	93
50	72	15	93
54	74	28	93
48	90	55	93
57	76	72	93
54	75	77	93
59	81	93	93
57	77	19	96
48	79	30	96
71	74	31	96
53	71	32	96
74	90	34	96
51	85	37	96
71	67	75	96
59	86	79	96
74	90	40	96
54	93	45	96
47	86	64	96
59	88	65	96
73	83	77	96
73	89	82	96
77	96	85	96
75	95	87	96
69	90	89	96
85	97	91	96
49	75	22	96
44	81	53	96
18	93	15	100
59	83	21	100
57	89	41	100
62	80	42	100
47	90	45	100
50	79	45	100
63	79	49	100
32	87	50	100
43	76	52	100
63	76	52	100
76	76	53	100
56	81	55	100
62	78	65	100
54	84	71	100
72	93	85	100
31	79	87	100
61	81	88	100
62	73	88	100
78	93	90	100
83	90	94	100
54	87	98	100
